Price,AdSpend,Traffic,Sales
72.01,16273.87,260.59,3327.27
98.49,17396.55,370.76,4316.45
42.28,14926.91,416.91,4405.7
43.98,17354.99,329.24,4225.15
91.82,9333.13,348.44,3099.87
99.61,13279.19,391.25,3809.47
41.81,9959.64,318.94,3814.0
113.97,8552.59,341.33,3088.05
62.09,9525.5,250.26,2724.27
89.42,8496.04,302.63,2507.33
88.88,11235.4,370.84,3770.55
89.96,12611.46,252.17,3229.69
40.0,13451.03,242.77,3518.29
110.59,9839.36,299.27,2416.6
94.18,14340.72,254.73,3085.22
70.06,9788.27,241.42,2077.47
40.0,15570.32,361.78,3951.81
76.77,11124.66,377.72,3331.03
99.88,7287.16,326.03,2538.81
63.07,13180.6,215.05,3438.05
89.99,22671.24,291.29,4659.78
114.88,12253.83,218.79,3238.52
101.57,12034.86,292.32,2522.49
101.05,14812.28,351.44,3915.9
98.72,14045.26,473.09,4265.3
84.41,9621.56,299.95,3265.64
60.89,3046.59,230.66,2731.02
103.0,9136.89,285.71,3363.89
67.77,16322.01,371.55,4139.46
62.4,13112.51,352.93,3566.6
99.74,15260.82,431.34,3818.08
90.44,10929.84,405.63,3727.9
97.02,22618.29,274.13,4346.57
95.01,7062.59,250.52,2905.93
100.71,4516.82,311.96,2262.88
94.29,13443.34,407.86,4371.4
85.71,14972.61,341.33,3290.77
54.21,13180.09,317.28,3813.06
104.71,12102.02,399.77,3986.12
71.34,12775.6,341.11,2965.69
72.73,11448.05,270.52,3362.15
92.4,21976.48,259.7,3943.32
72.46,13217.7,371.0,3922.06
99.54,12716.22,337.52,3599.89
80.92,9160.5,153.54,2233.54
86.53,11000.89,304.31,3304.62
90.15,10685.15,364.45,4025.81
61.48,11007.11,330.45,3562.39
87.54,14877.17,279.15,3481.25
90.45,14654.25,379.42,4486.25
101.56,8634.62,272.84,1848.43
98.05,18370.61,412.25,4584.96
81.95,11836.7,373.06,3559.14
69.87,11975.07,283.37,2416.38
122.41,13684.94,368.3,3667.88
87.67,7754.58,286.63,2569.77
96.7,3196.95,226.72,2064.63
71.57,7309.21,301.85,2754.2
86.59,11708.86,329.8,3806.4
99.2,14388.67,335.12,4181.14
87.08,11049.17,168.22,2538.12
101.01,10003.44,299.43,2969.74
82.92,7367.34,293.2,3452.71
97.46,12739.46,333.06,3394.64
75.39,14102.29,216.5,3368.34
49.73,6890.65,338.66,2753.68
66.11,11150.63,263.23,3184.23
118.34,15371.25,278.31,3157.94
110.45,7567.78,332.85,2829.34
90.15,13445.12,408.44,3794.73
101.43,8682.15,241.03,2745.82
84.39,8267.3,235.52,2578.01
101.77,9815.87,297.92,2717.22
73.01,9566.4,309.79,3442.99
97.1,13393.42,342.05,3270.64
109.66,13900.21,241.01,2988.11
95.0,7690.73,235.88,1731.19
90.06,12552.65,338.71,3347.74
110.49,4111.46,328.97,2344.17
89.68,11768.57,211.29,2734.85
82.27,5644.5,331.43,2706.06
130.0,9642.01,361.05,2349.42
84.5,16558.03,209.07,3260.17
40.0,3000.0,246.4,2227.43
65.45,16309.71,290.41,4459.03
72.44,12880.96,218.86,2622.51
80.02,15010.34,378.74,4083.81
112.52,15340.59,186.68,3195.32
92.07,6134.7,358.89,2755.25
81.63,15998.15,361.41,4305.08
103.88,16789.93,248.44,3160.31
53.35,13133.33,395.97,4332.58
109.94,12284.95,340.95,3240.84
85.58,5852.41,280.55,2499.1
119.17,9943.04,320.18,3540.35
78.78,16608.91,355.17,3934.22
76.83,6406.75,258.6,2658.94
71.79,5011.81,383.21,2927.06
64.56,14160.56,230.44,3049.28
93.5,7261.04,260.07,2596.55
72.89,11338.92,178.55,2848.23
75.53,15089.18,306.36,3813.34
69.2,22367.76,384.33,5434.35
49.8,16875.02,358.33,4613.27
74.68,10455.92,411.48,3596.23
69.89,16847.63,287.14,3722.46
72.18,9254.73,317.95,3147.85
73.64,3920.78,337.07,3009.82
77.51,11769.36,280.39,3298.59
64.73,5976.24,299.67,2553.86
104.64,14664.08,295.52,3090.67
112.31,8476.85,321.06,2760.36
51.27,11777.88,358.63,3433.36
109.86,8652.06,369.53,3121.88
89.93,13348.07,205.49,2723.15
96.73,4742.91,356.34,2452.04
79.63,14341.56,259.31,2977.45
102.39,14970.58,310.05,3640.81
63.33,7551.28,320.51,3147.64
94.76,11983.29,317.31,3770.9
120.41,16518.07,282.47,3354.0
103.57,8416.92,197.1,2411.57
93.29,3000.0,407.97,3288.23
110.2,9691.25,258.37,3451.7
56.25,20414.97,204.07,3910.54
81.56,7272.87,263.12,2967.55
75.36,10008.58,355.46,3438.76
102.67,9937.99,377.19,3601.41
111.74,16980.12,293.41,3265.49
104.88,10499.6,372.96,3244.46
72.66,8946.57,459.11,4064.56
98.28,8886.36,297.68,2604.97
68.78,14175.02,327.89,4466.08
71.3,6273.76,296.86,2966.04
56.19,7701.58,242.55,2019.77
78.07,7006.05,319.12,3102.45
54.1,12480.98,316.66,3451.01
99.51,9635.7,353.56,2776.34
105.29,7219.43,301.2,2650.72
77.91,17076.78,257.71,3586.08
87.13,7306.04,235.64,2233.18
109.51,14147.75,324.18,3753.72
100.88,13863.2,287.86,3140.67
108.14,5558.52,220.3,2409.38
124.7,17550.6,315.94,3799.66
83.39,8987.2,377.59,3414.24
97.19,5718.1,320.26,3140.07
93.47,10362.08,340.62,2991.01
58.14,12163.46,330.47,3264.13
93.49,5506.55,172.52,1875.5
